alpha,nodes,edges,TER,Mean_ORC
0.1,804,1204,73317.74414707159,-0.5992015433450649
0.2,804,1204,71481.10667132426,-0.7524761867325217
0.30000000000000004,804,1204,68485.77311084488,-0.9009554876081675
0.4,804,1204,65052.25718574263,-1.6446291825242971
0.5,804,1204,64900.583744467694,-2.255344342351771
0.6,804,1204,69113.41514545922,-3.6838198822261163
0.7000000000000001,804,1204,60675.15174249199,-5.757462816186679
0.8,804,1204,59984.84278110285,-9.269965314810694
0.9,804,1204,66362.23042493628,-13.122123627378375
1.0,804,1204,64414.793371620224,-21.355684793337975
